code;ratingc;e;d;c;b;a;resc
10104;E;0;0;0;0;0;0
6204;E;1;0;0;0;0;3
11390;E;0;0;0;0;0;0
5290;E;1;0;0;0;0;3
7564;E;3;0;0;0;0;9
3832;D;6;0;0;0;0;0
11185;D;0;0;0;0;0;0
4376;C;0;7;3;0;0;3
7473;E;0;0;0;0;0;0
1360;D;0;0;0;0;0;0
3847;C;4;15;9;0;0;9
3290;D;0;0;0;0;0;0
1240;D;0;0;0;0;0;0
11508;E;2;0;0;0;0;6
8571;D;5;0;0;0;0;0
11497;D;5;0;0;0;0;0
5493;D;6;8;0;0;0;8
7031;B;7;12;12;0;0;0
4642;D;5;9;0;0;0;9
5104;D;0;3;0;0;0;3
10120;E;0;0;0;0;0;0
8752;D;4;0;0;0;0;0
1627;C;0;16;2;0;0;2
7731;E;0;0;0;0;0;0
9361;E;0;0;0;0;0;0
10289;E;0;0;0;0;0;0
9904;D;4;0;0;0;0;0
9407;D;5;0;0;0;0;0
1334;D;0;3;0;0;0;3
1343;D;0;3;0;0;0;3
4926;E;0;0;0;0;0;0
11688;E;3;0;0;0;0;9
7138;E;0;0;0;0;0;0
2989;C;6;12;1;0;0;1
3079;D;4;0;0;0;0;0
9891;E;1;0;0;0;0;3
1880;D;0;1;0;0;0;1
8379;E;0;0;0;0;0;0
11392;E;0;0;0;0;0;0
4735;C;4;13;5;0;0;5
2692;D;4;0;0;0;0;0
8929;E;0;0;0;0;0;0
4453;E;0;0;0;0;0;0
11663;E;0;0;0;0;0;0
4863;E;0;0;0;0;0;0
9129;C;4;12;0;0;0;0
10203;D;7;0;0;0;0;0
3220;E;0;0;0;0;0;0
5351;D;0;1;0;0;0;1
10874;D;4;0;0;0;0;0
11075;D;0;0;0;0;0;0
10534;E;0;0;0;0;0;0
7254;E;0;0;0;0;0;0
4762;E;0;0;0;0;0;0
7726;E;0;0;0;0;0;0
4723;E;0;0;0;0;0;0
3729;E;2;0;0;0;0;6
9654;D;5;0;0;0;0;0
10089;E;0;0;0;0;0;0
3755;D;0;0;0;0;0;0
6115;E;0;0;0;0;0;0
8413;E;0;0;0;0;0;0
8017;E;0;0;0;0;0;0
10777;D;4;0;0;0;0;0
4503;E;0;0;0;0;0;0
9110;D;4;0;0;0;0;0
8356;E;0;0;0;0;0;0
1074;D;0;3;0;0;0;3
8944;E;0;0;0;0;0;0
1145;D;0;8;0;0;0;8
5963;D;4;0;0;0;0;0
9441;E;0;0;0;0;0;0
5991;E;1;0;0;0;0;3
2500;D;0;0;0;0;0;0
4831;C;4;12;1;0;0;1
6321;E;0;0;0;0;0;0
2461;D;0;2;0;0;0;2
4323;E;3;0;0;0;0;9
5314;C;4;13;0;0;0;0
7239;E;0;0;0;0;0;0
8352;E;1;0;0;0;0;3
1640;C;0;0;9;0;0;9
8095;D;4;0;0;0;0;0
5990;E;3;0;0;0;0;9
6971;E;3;0;0;0;0;9
1875;D;0;6;0;0;0;6
7623;D;4;11;0;0;0;11
2800;B;6;14;16;0;0;0
2149;D;0;9;0;0;0;9
4752;E;1;0;0;0;0;3
4754;E;0;0;0;0;0;0
11394;E;0;0;0;0;0;0
6870;E;0;0;0;0;0;0
9881;E;0;0;0;0;0;0
1317;D;0;4;0;0;0;4
5893;E;3;0;0;0;0;9
9888;E;0;0;0;0;0;0
4400;E;0;0;0;0;0;0
11320;E;0;0;0;0;0;0
10966;E;1;0;0;0;0;3
11096;D;7;0;0;0;0;0
1219;D;0;1;0;0;0;1
1770;D;0;0;0;0;0;0
6236;E;0;0;0;0;0;0
1429;D;0;0;0;0;0;0
11099;D;5;0;0;0;0;0
2980;D;0;2;0;0;0;2
8052;D;7;9;0;0;0;9
2286;C;0;10;2;0;0;2
8002;C;0;16;0;0;0;0
6547;D;7;0;0;0;0;0
3982;E;1;0;0;0;0;3
2318;D;0;0;0;0;0;0
5317;E;0;0;0;0;0;0
11015;D;5;0;0;0;0;0
7956;E;0;0;0;0;0;0
3710;E;0;0;0;0;0;0
3114;B;0;0;10;1;0;1
3266;E;0;0;0;0;0;0
5109;E;3;0;0;0;0;9
11437;E;1;0;0;0;0;3
6648;E;0;0;0;0;0;0
10259;D;5;0;0;0;0;0
3487;D;0;6;0;0;0;6
11540;C;0;12;0;0;0;0
11520;E;0;0;0;0;0;0
4491;E;0;0;0;0;0;0
7790;D;4;0;0;0;0;0
5717;E;0;0;0;0;0;0
3422;D;4;1;0;0;0;1
11121;E;0;0;0;0;0;0
8573;E;1;0;0;0;0;3
4561;C;0;10;2;0;0;2
1573;D;0;0;0;0;0;0
9968;E;0;0;0;0;0;0
8334;B;8;15;12;0;0;0
7061;B;8;8;12;0;0;0
11172;E;0;0;0;0;0;0
9038;E;0;0;0;0;0;0
4165;E;0;0;0;0;0;0
3119;E;0;0;0;0;0;0
8427;D;4;0;0;0;0;0
10428;D;0;0;0;0;0;0
4585;E;0;0;0;0;0;0
8925;D;4;5;0;0;0;5
7286;E;3;0;0;0;0;9
5983;E;0;0;0;0;0;0
16;B;0;0;0;0;0;0
2026;D;0;0;0;0;0;0
6488;E;0;0;0;0;0;0
11110;D;6;0;0;0;0;0
7226;E;3;0;0;0;0;9
10880;E;0;0;0;0;0;0
2124;D;0;0;0;0;0;0
3996;E;0;0;0;0;0;0
5022;C;5;13;0;0;0;0
11617;E;0;0;0;0;0;0
11628;E;0;0;0;0;0;0
761;C;0;0;8;0;0;8
10841;D;4;0;0;0;0;0
4408;D;4;0;0;0;0;0
8452;E;2;0;0;0;0;6
10878;E;3;0;0;0;0;9
11448;E;0;0;0;0;0;0
8756;E;0;0;0;0;0;0
6397;E;0;0;0;0;0;0
4953;D;2;10;0;0;0;10
4552;E;0;0;0;0;0;0
10427;E;0;0;0;0;0;0
2689;D;7;0;0;0;0;0
1769;B;0;16;13;0;0;0
7675;D;4;0;0;0;0;0
8733;E;0;0;0;0;0;0
3580;C;0;15;0;0;0;0
9967;E;0;0;0;0;0;0
6731;C;0;0;0;0;0;0
6776;C;0;14;1;0;0;1
3915;E;0;0;0;0;0;0
11346;E;0;0;0;0;0;0
10487;E;0;0;0;0;0;0
762;D;0;1;0;0;0;1
8433;D;5;0;0;0;0;0
9573;E;0;0;0;0;0;0
9545;E;0;0;0;0;0;0
8902;E;0;0;0;0;0;0
5610;D;6;4;0;0;0;4
8149;E;0;0;0;0;0;0
5097;E;0;0;0;0;0;0
2516;D;0;7;0;0;0;7
6256;B;0;12;14;1;0;1
6263;B;0;12;14;1;0;1
4649;E;0;0;0;0;0;0
742;C;0;0;4;0;0;4
8884;E;0;0;0;0;0;0
5645;E;2;0;0;0;0;6
8073;D;7;0;0;0;0;0
6867;C;4;12;0;0;0;0
1704;C;0;0;0;0;0;0
11454;E;0;0;0;0;0;0
750;D;0;11;0;0;0;11
9258;E;2;0;0;0;0;6
3025;C;0;13;0;0;0;0
5675;E;0;0;0;0;0;0
4693;E;3;0;0;0;0;9
1910;D;0;0;0;0;0;0
7977;D;5;0;0;0;0;0
2179;D;0;2;0;0;0;2
5661;D;4;0;0;0;0;0
3889;E;1;0;0;0;0;3
4077;E;0;0;0;0;0;0
8489;D;5;0;0;0;0;0
1152;D;0;3;0;0;0;3
7554;D;4;0;0;0;0;0
7024;C;4;13;0;0;0;0
8011;E;0;0;0;0;0;0
9262;E;2;0;0;0;0;6
8850;D;5;0;0;0;0;0
11361;E;1;0;0;0;0;3
5466;D;4;0;0;0;0;0
3275;D;0;0;0;0;0;0
11353;D;4;0;0;0;0;0
6477;D;8;0;0;0;0;0
11027;E;1;0;0;0;0;3
6540;D;4;3;0;0;0;3
9772;E;3;0;0;0;0;9
6498;E;0;0;0;0;0;0
1076;D;0;0;0;0;0;0
2007;D;0;0;0;0;0;0
11473;E;0;0;0;0;0;0
11091;E;0;0;0;0;0;0
2695;E;0;0;0;0;0;0
1776;D;0;0;0;0;0;0
7344;E;0;0;0;0;0;0
7183;D;4;0;0;0;0;0
9265;E;0;0;0;0;0;0
3189;D;4;0;0;0;0;0
2712;E;3;0;0;0;0;9
4067;E;0;0;0;0;0;0
1629;C;0;12;0;0;0;0
9362;E;0;0;0;0;0;0
2874;C;0;0;1;0;0;1
7503;C;4;13;0;0;0;0
1544;D;0;0;0;0;0;0
5207;C;0;13;0;0;0;0
9725;E;2;0;0;0;0;6
1289;D;0;0;0;0;0;0
9527;E;0;0;0;0;0;0
7812;D;7;0;0;0;0;0
4274;C;2;2;7;0;0;7
5827;C;5;12;0;0;0;0
7668;D;5;1;0;0;0;1
5735;C;5;14;0;0;0;0
10904;E;0;0;0;0;0;0
3754;D;6;0;0;0;0;0
6697;E;0;0;0;0;0;0
4315;D;0;5;0;0;0;5
10740;E;0;0;0;0;0;0
10473;E;2;0;0;0;0;6
